Price,,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,SPY,SPY,SPY,SPY,SPY
Ticker,Date,,,,,,,,,,,,,,,
AAPL,2020-01-02,72.53852081298828,72.59889913772518,71.29231130597061,71.5458973217052,135480400.0,,,,,,,,,,
AAPL,2020-01-03,71.83328247070312,72.59404771603535,71.6086769224392,71.76565905712691,146322800.0,,,,,,,,,,
AAPL,2020-01-06,72.40568542480469,72.4443284378041,70.70301958367426,70.9541954829699,118387200.0,,,,,,,,,,
AAPL,2020-01-07,72.06513977050781,72.67133299565539,71.84536183598526,72.41532954893665,108872000.0,,,,,,,,,,
AAPL,2020-01-08,73.22441864013672,73.52631026770732,71.76809372355218,71.76809372355218,132079200.0,,,,,,,,,,
AAPL,2020-01-09,74.77974700927734,74.97295465655091,73.95135835025293,74.20252681762871,170108400.0,,,,,,,,,,
AAPL,2020-01-10,74.94879150390625,75.5139389034252,74.44644726815396,75.01400478791136,140644800.0,,,,,,,,,,
AAPL,2020-01-13,76.55006408691406,76.57663438619578,75.14687220956256,75.265218754796,121532000.0,,,,,,,,,,
AAPL,2020-01-14,75.516357421875,76.69736069243768,75.39319068247579,76.48724535482815,161954400.0,,,,,,,,,,
AAPL,2020-01-15,75.1927490234375,76.19744522367158,74.7604381579808,75.3159231634684,121923600.0,,,,,,,,,,
AAPL,2020-01-16,76.1346435546875,76.24574496948411,75.3738782015038,75.73614811924845,108829200.0,,,,,,,,,,
AAPL,2020-01-17,76.97753143310547,76.97994155406593,76.07668423312775,76.38340344954888,137816400.0,,,,,,,,,,
AAPL,2020-01-21,76.45585632324219,77.04755940221253,76.31819199284013,76.60559336877427,110843200.0,,,,,,,,,,
AAPL,2020-01-22,76.72877502441406,77.28183515069573,76.63458130371416,76.94130052804331,101832400.0,,,,,,,,,,
AAPL,2020-01-23,77.0982894897461,77.17798563171488,76.23366779231166,76.78190767247501,104472000.0,,,,,,,,,,
AAPL,2020-01-24,76.8760757446289,78.08846950735138,76.6852782289865,77.34461200102739,146537600.0,,,,,,,,,,
